,city,Lat,Lon,Wind Speed,Humidity,Temperature,Cloud Cover
344,kieta,-6.22,155.63,2.98,99,79.01,88
345,sterling,39,-77.4,13.87,100,51.8,90
346,jalu,29.03,21.55,6.67,26,84.81,32
347,novyy urengoy,66.08,76.63,20.31,89,33.29,8
348,porto novo,-23.68,-45.44,17.22,61,82.4,75
349,turukhansk,65.8,87.96,19.75,90,36.84,92
350,talara,-4.58,-81.27,17.22,73,73.4,0
351,baruun-urt,46.68,113.28,15.05,79,32.52,76
352,farah,32.37,62.11,2.98,81,65.24,24
353,aksu,52.04,76.93,8.95,47,44.6,0
354,carson city,39.16,-119.77,3.36,64,46.4,20
355,vila franca do campo,37.72,-25.43,19.46,63,66.2,75
356,necochea,-38.55,-58.74,8.34,86,66.86,32
357,litovko,49.24,135.18,12.71,99,34.68,92
358,lata,30.78,78.62,2.64,82,42.51,0
359,emba,34.81,32.42,1.12,53,71.6,75
360,nagornyy,,,,,,
361,bocaiuva,-17.12,-43.81,10.8,54,90.17,12
362,viedma,-40.81,-62.99,13.49,55,72.44,0
363,erenhot,43.65,111.97,19.75,51,35.99,0
364,peniche,39.36,-9.38,26.4,41,60.8,20
365,marienburg,52.12,9.98,4.7,75,48.2,20
366,kamenskoye,,,,,,
367,nizhneyansk,,,,,,
368,bang saphan,11.21,99.51,2.98,90,79.95,0
369,troitskoye,52.98,84.68,3.2,89,36.03,0
370,madikeri,12.42,75.74,2.98,39,77.34,0
371,muzhi,65.4,64.7,19.86,83,32.7,88
372,balabac,7.99,117.06,2.98,100,81.84,8
373,samalaeulu,,,,,,
374,srednekolymsk,67.46,153.71,5.77,85,9.26,88
375,benjamin hill,30.17,-111.1,6.44,44,63.89,0
376,evensk,61.92,159.24,3.53,100,31.49,92
377,popondetta,-8.77,148.24,1.63,91,69.92,48
378,mecca,21.43,39.83,7.56,28,89.76,0
379,sorong,-0.86,131.25,13.15,100,81.62,12
380,sorvag,,,,,,
381,iqaluit,63.75,-68.52,23.04,85,23,90
382,ahipara,-35.17,173.16,10.58,100,59.52,92
383,konevo,41.67,25.61,12.82,69,63.26,8
384,bur gabo,,,,,,
385,ust-kulom,61.69,53.69,5.99,87,32.43,88
386,la palma del condado,37.38,-6.55,18.34,52,69.8,20
387,lunenburg,42.59,-71.72,8.05,100,48.2,90
388,palmerston,43.83,-80.85,12.75,93,35.6,90
389,oistins,13.07,-59.53,12.75,70,84.2,40
390,tias,28.96,-13.65,12.75,64,77,40
391,meinung,,,,,,
392,baykit,61.68,96.39,9.24,77,36.17,0
393,shagamu,6.84,3.65,6.93,74,86,40
394,antigonish,45.62,-61.99,6.93,38,39.2,1
395,tala,20.65,-103.7,3.31,80,62.94,24
396,ondorhaan,,,,,,
397,kangaatsiaq,68.31,-53.46,4.09,91,33.87,88
398,katwijk,52.2,4.41,3.36,71,51.8,56
399,mount gambier,-37.83,140.78,3.2,92,45.44,12
400,goundam,16.42,-3.66,8.34,21,94.71,0
401,nieuw amsterdam,5.88,-55.08,6.93,59,89.6,75
402,tessalit,20.2,1.01,5.77,20,88.37,0
403,nizhniy baskunchak,48.22,46.83,7.34,81,41.12,0
404,samarkand,39.65,66.98,6.93,16,84.2,80
405,rolla,37.95,-91.77,4.7,93,46.4,20
406,tromso,69.65,18.96,11.41,100,32,75
407,schladming,47.39,13.69,6.93,93,44.6,75
408,kavaratti,10.57,72.64,7.11,99,86.25,0
409,olkhovka,53.21,60.61,11.48,57,40.62,76
410,qabis,,,,,,
411,fredericksburg,38.3,-77.46,11.41,100,51.8,90
412,polovinnoye,54.79,65.99,10.47,64,42.69,80
413,bodden town,19.28,-81.25,5.82,79,86,20
414,belmonte,40.36,-7.35,14.83,69,51.06,0
415,ugoofaaru,5.67,73,2.19,100,78.69,92
416,oshakati,-17.78,15.7,9.17,19,91.4,36
417,katsuura,33.93,134.5,8.46,95,55.52,32
418,heiligenhafen,54.37,10.98,10.29,86,42.8,75
419,sao filipe,14.9,-24.5,13.27,93,80.22,20
420,bom jesus,-5.99,-35.58,17.22,45,87.8,75
421,sorland,67.67,12.69,22.1,100,42.02,92
422,kalabo,-15,22.67,12.03,14,93.18,0
423,talaya,55.79,84.89,11.7,76,38.87,0
424,ucluelet,48.94,-125.55,4.7,93,41,20
425,gromiljak,43.97,18.05,11.41,42,68,40
426,tamale,9.4,-0.84,4.43,47,96.11,0
427,hohhot,40.81,111.65,8.95,38,42.8,0
428,karaul,,,,,,
429,kokstad,-30.55,29.42,4.88,26,79.59,0
430,port keats,-14.25,129.55,7.11,92,79.68,0
431,changde,29.04,111.68,2.75,70,52.77,0
432,bonthe,7.53,-12.5,3.65,85,84.27,24
433,tabat,-2.64,115.23,1.52,95,76.08,8
434,marcona,,,,,,
435,japura,-0.42,102.29,1.97,96,76.04,24
436,raglan,-37.8,174.87,13.27,99,59.79,92
437,yuncheng,35.03,111,3.09,81,37.52,0
438,hambantota,6.12,81.12,6.22,100,79.32,48
439,haines junction,60.75,-137.51,2.98,95,18.39,0
440,buchanan,5.88,-10.05,10.29,70,87.8,75
441,camacha,33.08,-16.33,17.22,73,69.8,40
442,selenginsk,52.01,106.87,8.95,45,44.6,40
443,mana,43.52,20.24,3.36,43,71.6,0
444,itarema,-2.92,-39.92,18.3,56,90.89,0
445,toba tek singh,30.98,72.49,3.76,64,73.47,0
446,altamont,49.4,-98.5,8.23,100,37.4,32
447,umm kaddadah,13.6,26.69,16.06,14,93.18,0
448,avera,33.19,-82.53,14.99,77,60.8,90
449,portland,45.52,-122.67,2.19,93,55.4,75
450,severo-kurilsk,50.68,156.12,3.09,100,36.3,20
451,hami,42.84,93.51,4.43,66,36.26,0
452,anadyr,64.73,177.51,6.71,67,19.4,0
453,lakatoro,-16.11,167.42,5.21,100,75.45,24
454,mbekenyera,-10,38.98,5.32,32,88.05,64
455,port hedland,-20.31,118.58,4.7,78,73.4,0
456,fort nelson,58.81,-122.69,11.41,60,42.8,75
457,nuuk,64.17,-51.74,28.86,52,41,75
458,norman wells,65.28,-126.83,4.7,100,23,90
459,fukue,35.03,136.69,16.11,63,62.6,0
460,brae,60.4,-1.35,18.34,70,46.4,36
461,tarudant,,,,,,
462,balakhninskiy,58.01,114.28,2.3,80,8.72,36
463,noumea,-22.28,166.46,3.36,93,64.4,0
464,neiafu,-18.65,-173.98,5.82,83,73.4,75
465,genhe,50.78,121.52,16.84,70,18.89,76
466,nelson bay,-32.72,152.14,17.22,82,66.2,40
467,zhigansk,66.77,123.37,7.34,89,16.05,76
468,kahului,20.89,-156.47,11.41,83,77,1
469,puerto del rosario,28.5,-13.86,14.99,69,77,40
470,sjovegan,68.87,17.85,0.07,100,30.2,75
471,santarem,,,,,,
472,sisimiut,66.94,-53.67,1.74,100,29.91,56
473,malindi,-3.22,40.12,9.17,78,80.6,40
474,crnici,43.13,17.87,10.29,56,71.6,40
475,hokitika,-42.72,170.96,2.64,100,47.42,12
476,santa fe,-31.62,-60.7,4.43,91,71.22,36
477,villarrica,-39.28,-72.23,2.75,88,56.1,80
478,mikhaylovka,52.96,103.29,4.21,76,27.89,0
479,ypsilanti,42.24,-83.61,10.29,87,44.6,90
480,harper,30.3,-99.24,4.7,88,62.6,1
481,lorengau,-2.02,147.27,3.42,100,81.93,24
482,aksarka,66.56,67.8,25.9,89,30.99,44
483,san nicolas guadalupe,,,,,,
484,ode,7.79,5.71,6.22,67,85.98,76
485,noshiro,40.21,140.05,19.64,100,58.71,88
486,lethem,3.38,-59.8,15.17,44,95.12,0
487,nanma,35.7,113.14,8.12,28,45.93,0
488,witu,-2.39,40.44,7.67,83,77.88,44
489,corrales,5.83,-72.84,2.3,78,61.68,36
490,kayiry,46.95,33.71,12.03,69,60.24,24
491,longyearbyen,78.22,15.63,9.17,72,17.6,75
492,ruatoria,,,,,,
493,caluquembe,-13.78,14.68,8.79,37,82.11,44
494,homa bay,-0.53,34.45,21.92,88,69.8,75
495,broome,52.47,1.45,6.93,93,42.8,75
496,tungor,53.39,142.95,27.81,80,44.76,92
497,esna,45.2,27.57,8.46,43,67.71,0
498,bay roberts,47.58,-53.28,24.16,45,44.6,40
499,abalak,15.46,6.28,9.13,26,98.54,32
500,gornozavodsk,58.37,58.33,15.28,75,31.89,88
501,dodge city,37.75,-100.02,4.7,75,44.6,1
502,almeirim,39.21,-8.63,26.4,41,62.6,20
503,kothapet,17.37,78.55,3.36,47,77,0
504,alcains,39.92,-7.46,14.83,69,51.06,0
505,natal,-5.81,-35.21,17.22,45,87.8,75
506,heinola,61.2,26.03,11.41,69,33.8,75
507,san juan,-31.54,-68.53,2.42,53,73.79,36
508,eskil,38.4,33.41,2.53,79,47.87,0
509,marzuq,14.4,46.47,4.21,23,71.27,0
510,thongwa,16.76,96.52,3.36,83,82.4,40
511,gamboma,-1.87,15.88,2.3,90,82.34,24
512,marrakesh,31.63,-7.99,11.41,77,66.2,40
513,ulladulla,-35.36,150.48,4.7,87,60.8,90
514,beringovskiy,63.05,179.32,5.99,100,20.55,92
515,stoyba,,,,,,
516,gunjur,13.18,-16.76,5.82,55,89.6,44
517,ciudad bolivar,8.12,-63.55,14.72,48,93,0
518,yichun,27.8,114.38,0.63,84,48.59,0
519,husavik,50.56,-96.99,6.67,100,40.8,92
520,kulhudhuffushi,6.62,73.07,3.42,100,81.3,92
521,xingcheng,40.62,120.71,7.45,52,43.68,48
522,gerash,27.67,54.14,6.93,36,78.8,75
523,pisco,-13.71,-76.2,4.7,82,64.4,90
524,vostok,46.45,135.83,7.23,81,28.11,88
525,champerico,16.38,-93.6,2.24,78,77,75
526,touros,-5.2,-35.46,14.72,61,86.84,0
527,bosaso,11.28,49.18,8.46,100,78.69,12
528,kurilsk,45.23,147.88,27.25,97,53.76,92
529,narsaq,60.91,-46.05,3.36,98,39.2,75
530,zhanaozen,43.35,52.85,16.73,52,51.69,0
531,werda,50.44,12.3,3.36,75,46.4,75
532,togul,53.47,85.91,5.1,79,30.9,0
